0,000000	1,253771	  R
1,253771	2,240781	VF
2,240781	2,680935	AM
2,680935	3,087743	M1
3,087743	3,521228	R
3,521228	4,955061	M1
4,955061	7,429258	R
7,429258	8,809739	AM
8,809739	9,156527	R
9,156527	11,263928	VF
11,263928	13,124577	R
13,124577	15,332013	VF
15,332013	16,465742	R
16,465742	19,026635	M1
19,026635	19,546817	R
19,546817	20,760573	AM
20,760573	22,167731	R
22,167731	23,388156	VF
23,388156	23,948352	R
23,948352	24,275132	VF
24,275132	24,741962	R
24,741962	27,382883	VF
27,382883	28,643322	R
28,643322	29,983790	VF
29,983790	30,797407	R
30,797407	31,924467	VF
31,924467	55,385982	R
55,385982	57,213286	VF
57,213286	62,375086	R
62,375086	62,935281	M1
62,935281	66,963353	R
66,963353	68,417193	M1
68,417193	71,511605	R
71,511605	73,198860	VF
73,198860	73,652352	AM
73,652352	75,026164	R
75,026164	75,933147	AM
75,933147	78,233950	R
78,233950	79,174278	M1
79,174278	79,641107	R
79,641107	80,241316	M1
80,241316	82,288697	R
82,288697	82,995610	AM
82,995610	88,637578	R
88,637578	89,544561	M1
89,544561	90,018059	R
