0.000000	0.669567	R
\	2125.874023	2965.034912
0.669567	1.220974	AM
\	839.160889	1342.657349
1.220974	2.304097	R
\	1174.825195	1286.713257
2.304097	3.932062	AM
\	447.552429	1006.993042
3.932062	5.638801	R
\	1118.881104	1454.545532
5.638801	6.794131	AM
\	1174.825195	1678.321777
6.794131	10.621163	R
\	1342.657349	2181.818359
7.621243	8.520563	AM
\	1118.881104	1454.545532
10.621163	12.196614	N1
\	895.104858	1118.881104
10.621163	11.369503	M1
\	671.328674	839.160889
11.881524	12.386981	M1
\	2293.706299	2573.426514
12.386981	14.461325	R
\	1286.713257	1510.489502
14.461325	16.259964	M1
\	3916.083740	4531.468262
14.677949	14.901138	R
\	2069.930176	2237.762207
16.259964	20.257670	R
\	3524.475586	4699.300781
20.257670	20.809078	M1
\	3412.587402	3748.251709
20.809078	23.841821	R
\	783.216797	1622.377686
23.841821	30.327426	R
\	2013.986084	2853.146729
30.327426	31.640302	M1
\	2629.370605	3076.923096
31.640302	31.850362	R
\	4307.692383	4419.580566
31.850362	32.336126	M1
\	1286.713257	1678.321777
32.336126	36.241931	R
\	1174.825195	2685.314697
36.241931	37.344746	VF
\	1566.433594	2237.762207
37.344746	54.563109	R
\	503.496521	3972.028076
54.563109	55.528073	M1
\	1062.937012	1286.713257
55.528073	60.694238	VF
\	4867.132813	5034.964844
60.694238	63.247781	R
\	2293.706299	2853.146729
63.247781	66.044206	VF
\	951.048950	1006.993042
66.044206	70.350438	R
\	-1.000000	111.888107
70.350438	71.492640	M1
\	503.496521	671.328674
71.492640	74.138084	R
\	1454.545532	2573.426514
74.138084	74.847037	M1
\	1510.489502	1902.097900
74.847037	75.477218	R
\	1342.657349	1566.433594
75.477218	76.028625	M1
\	1902.097900	1958.041870
76.028625	76.251814	R
\	615.384644	951.048950
76.251814	77.013282	M1
\	1510.489502	2293.706299
77.013282	83.919008	R
\	4307.692383	4755.244629
83.919008	84.470415	M1
\	1454.545532	1510.489502
84.470415	90.535900	R
\	6041.958008	6097.902344
