0,000000	0,190078	R
0,000000	1,190078	R
1,190078	1,901538	AM
1,901538	2,289608	R
2,289608	2,532151	N1
2,532151	3,835416	AM
3,835416	4,210549	R
4,210549	5,743422	AM
5,743422	7,357143	R
7,347441	8,262637	AM
8,240000	9,533564	R
9,533564	10,749513	N1
10,749513	12,812747	R
12,812747	13,187881	M1
13,123203	16,056358	AM
16,056358	19,807692	R
19,807692	20,402732	M1
20,402732	20,719655	R
20,719655	21,634851	N1
22,006750	24,713532	VF
22,433626	23,086876	M1
23,533155	24,551837	N1
24,713532	25,334443	R
25,334443	26,320785	N1
26,320785	26,886719	R
26,886719	27,271554	M1
27,271554	27,989482	R
27,989482	28,804427	VF
28,804427	29,166625	R
29,166625	29,422104	N1
29,422104	32,206499	R
31,585589	31,883108	VF
32,206499	36,507598	N1
32,588100	33,170204	VF
36,507598	38,224804	R
38,224804	38,522323	N1
38,522323	40,931586	VF
40,931586	41,568666	R
41,568666	43,331146	VF
43,331146	43,893846	R
43,893846	44,627943	M1
44,627943	45,193878	R
45,193878	46,345149	N1
46,345149	47,412339	R
47,412339	48,385746	N1
48,385746	49,614631	R
49,614631	49,831303	N1
49,831303	51,584082	R
51,584082	51,758713	N1
51,664929	52,693312	VF
52,693312	53,786374	N1
53,786374	54,219717	R
54,219717	55,118744	VF
55,118744	55,629702	N1
55,629702	59,934035	R
59,934035	61,279341	VF
61,279341	61,580094	N1
61,580094	62,844553	VF
